tool_id,name,type,material,diameter,shank_diameter,cutting_length,overall_length,flute_count,helix_angle,coating,workpiece_materials,center_cutting,price_usd,manufacturer,max_depth_of_cut,max_rpm,speed_feed_link,image_link,product_link
03-0079,"1"" Dia. Carbide End Mill, 5 Flute, TiAlN Coated, 1"" Weldon Shank x 1-1/2"" LOC, Square Profile, HSPM2",end_mill,carbide,25.4,25.4,38.1,101.6,5,38.0,Multi-Layer TiAlN,"['Steel', 'Stainless Steel', 'High Temp Alloys']",True,164.95,Haas,19.05,10000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/5-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0079/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0079.html
03-0080,"1/16"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1/8"" Smooth Shank x 3/16"" LOC, Square Profile, HSAM1",end_mill,carbide,1.59,3.17,4.78,38.1,3,38.0,Uncoated,['Aluminum'],True,14.95,Haas,2.39,25000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0080/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0080.html
03-0082,"3/16"" Dia. Carbide End Mill, 3 Flute, Uncoated, 3/16"" Smooth Shank x 9/16"" LOC, Square Profile, HSAM1",end_mill,carbide,4.76,4.76,14.3,50.8,3,38.0,Uncoated,['Aluminum'],True,16.95,Haas,7.15,25000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0082/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0082.html
03-0084,"5/16"" Dia. Carbide End Mill, 3 Flute, Uncoated, 5/16"" Smooth Shank x 13/16"" LOC, Square Profile, HSAM1",end_mill,carbide,7.94,7.94,20.65,63.5,3,38.0,Uncoated,['Aluminum'],True,21.95,Haas,10.33,18000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0084/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0084.html
03-0085,"3/8"" Dia. Carbide End Mill, 3 Flute, Uncoated, 3/8"" Smooth Shank x 7/8"" LOC, Square Profile, HSAM1",end_mill,carbide,9.52,9.52,22.22,63.5,3,38.0,Uncoated,['Aluminum'],True,25.95,Haas,11.11,18000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0085/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0085.html
03-0087,"5/8"" Dia. Carbide End Mill, 3 Flute, Uncoated, 5/8"" Smooth Shank x 1-1/4"" LOC, Square Profile, HSAM1",end_mill,carbide,15.88,15.88,31.75,88.9,3,38.0,Uncoated,['Aluminum'],True,93.95,Haas,15.88,15000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0087/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0087.html
03-0088,"3/4"" Dia. Carbide End Mill, 3 Flute, Uncoated, 3/4"" Smooth Shank x 1-1/2"" LOC, Square Profile, HSAM1",end_mill,carbide,19.05,19.05,38.1,101.6,3,38.0,Uncoated,['Aluminum'],True,109.95,Haas,19.05,10000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0088/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0088.html
03-0089,"1"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1"" Smooth Shank x 1-1/2"" LOC, Square Profile, HSAM1",end_mill,carbide,25.4,25.4,38.1,101.6,3,38.0,Uncoated,['Aluminum'],True,163.95,Haas,19.05,10000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0089/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0089.html
03-0392,"3/8"" Dia. Carbide End Mill, 3 Flute, Uncoated, 3/8"" Smooth Shank x 1-1/2"" LOC, Square Profile, HSAM1",end_mill,carbide,9.52,9.52,38.1,88.9,3,38.0,Uncoated,['Aluminum'],True,37.95,Haas,19.05,18000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0392/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0392.html
03-0393,"1/2"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1/2"" Smooth Shank x 2"" LOC, Square Profile, HSAM1",end_mill,carbide,12.7,12.7,50.8,101.6,3,38.0,Uncoated,['Aluminum'],True,53.95,Haas,25.4,15000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0393/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0393.html
